Ringnr|NestID|Location|Total_time|perch1|perch2|perch3|perch4|perch5|5perches|Bottom|Middle|Top|T_new|T_home|ground|latency|Explored|move_home|movement|Mov_sum
HA70384|21KR35||600|33.915|0.506|245.034|0|3.099|NA|0|0|600|282.561|317.439|0|317.438|y|3|7|10
HA70385|21JJ20||600|0|0|251.212|3.touko|95.895|NA|0|224.389|375.61|350.611|249.389|0|249.388|y|3|4|7
HA70386|21NB15||600|0|0|0|0|0|NA|0|0|600|0|600|0|600|n|0|0|0
HA70389|21DT8||600|0|0|0|0|0|NA|0|0|600|0|600|0|600|n|0|0|0
HA70392|21JJ27||600|0|0|34.499|0|154.248|NA|0|0|600|188.749|411.251|0|411.25|y|3|2|5
HA70393|21JJ27||600|175.718|57.246|205.414|23|88.243|18.501|0|0|600|549.75|50.25|0|12.001|y|15|135|150
HA70395|21NB27||600|46.064|0|119.383|14.756|22.507|NA|23.424|48.249|528.264|262.524|337.476|22.671|90.252|y|104|83|187
HA70396|21OW9||600|41.024|20.186|142.238|20.493|336.456|57.77|0|65.966|534.008|561.947|38.053|0|0.573|y|14|56|70
HA70398|21KR45||600|0|0|0|0|0|NA|0|0|600|0|600|0|600|n|0|0|0
HA70399|21NB29||600|0|0|0|0|0|NA|0.458|1.502|598.038|0|600|0|600|n|1|0|1
HA70400|21NB29||600|62.99|41.808|98.518|77.359|85.738|124.241|6.754|35.817|557.413|366.529|233.471|6.757|26.002|y|120|158|278
HB45004|19EK15||600.932|109.763|4.165|254.823|0|3.705|NA|1.733|107.328|490.338|565.601|35.331|0|35.331|y|4|237|241
HB45007|19EK2||600.318|0|0|231.217|4.293|4.993|NA|0|2.756|597.56|240.508|359.81|0|30.144|y|3|6|9
HB45008|19EK2||601.238|0|0|0|124.321|37.834|NA|411.887|161.661|27.683|162.157|439.081|0|27.647|y|11|7|18
HB45009|19KR9||600.64|0|0|0|0|0|NA|0|24.086|576.546|0|600.64|0|600.64|n|72|0|72
HB45009|||600.161|166.339|10.434|149.464|5.224|19.706|469.719|64|219.571|316.509|480.153|120.008|4.252|120.006|y|29|198|227
HB45010|19KR13||591.164|0|0|0|0|0|NA|0|0|591.164|0|591.164|0|591.164|n|0|0|0
HB45011|19JJ1||600.825|4.989|20.696|226.552|103.184|29.043|48.211|helmi.25|33.11|565.451|404.351|196.474|0|61.305|y|28|74|102
HB45014|19EK1||600.104|0|0|0|0|0|NA|11.008|94.13|494.961|0|600.104|0|600.104|n|0|0|0
HB45015|19EK1||601.904|0|0|0|0|0|NA|0|0|601.904|0|601.903|0|601.904|n|0|0|0
HB45015|19EK1||601.259|113.454|40.37|130.165|10.609|78.185|186.708|0|1.969|606.015|371.925|229.334|0|99.249|y|37|86|123
HB45016|19EK3||600.405|191.378|15.003|364.894|maalis.17|2.285|208.69|0|4.641|595.761|580.158|20.247|0|4.035|y|4|57|61
HB45017|19EK3||593.917|0|0|234.261|0|143.605|NA|0|561.352|32.564|377.867|216.05|0|216.048|y|1|2|3
HB45018|19EK12||588.373|37.028|0|97.147|0|30.032|NA|0|9.214|579.151|164.219|424.154|0|424.152|y|46|14|60
HB45019|19EK11||600.287|0|157.488|162.494|46.521|194.52|NA|0|130.263|469.037|563.635|36.652|0|1.126|y|14|49|63
HB45020|19EK4||600.103|0|0|0|0|0|NA|0|600.103|0|0|600.103|0|600.103|n|0|0|0
HB45020|21OW3||600.528|0|0|0|0|0|NA|600.527|0|0|0|600.528|0|600.528|n|0|0|0
HB45021|19EK8||600.252|112.326|66.187|153.512|5.243|36.579|366.87|0|0|600.252|379.058|221.194|0|137.396|y|14|27|41
HB45023||Kodderviken|600.092|157.729|78.019|135.368|32.914|105.245|83.653|0|12.827|587.259|509.416|90.676|0|3.121|y|35|156|191
HB45023|20KR4||600.698|85.257|150.92|103.52|116.663|20.377|18.714|10.767|248.223|333.435|476.906|123.792|0|35.867|y|46|184|230
HB45024|19EK16||600.223|0|0|0|0|0|NA|0|43.602|556.615|0|600.223|0|600.223|n|214|0|214
HB45024|||600.258|0|0|0|0|0|NA|1.801|104.77|490.771|0|600.258|0|600.258|n|172|0|172
HB45025||Storminnet|600.287|16.831|61.897|184.478|0.999|111.345|153.878|0|51.626|548.994|375.654|224.633|0|87.831|y|21|28|49
HB45026||Storminnet|600.244|104.493|10.138|86.798|149.385|12.999|307.52|0|199.019|399.435|429.828|170.416|0|143.115|y|17|152|169
HB45027|19EK18||600.287|0|0|0|0|0|NA|600.293|0|0|0|600.287|600.292|600.287|n|0|0|0
HB45028|19KR26||600.491|0|0|0|0|0|NA|600.49|0|0|0|600.491|0|600.491|n|0|0|0
HB45029||Norra Fladet|600.287|57.185|tammi.96|69.359|4.374|67.609|185.02|50.542|93.094|455.93|240.896|359.391|0|252.985|y|44|67|111
HB45030|19EK29||600.815|116.437|helmi.45|0|0.868|5.helmi|NA|0|27.452|573.355|125.709|475.106|0|4.055|y|88|5|93
HB45031|19EK29||600.894|27.052|15.032|49.574|26.83|22.325|74.595|1.006|49.459|550.105|144.584|456.31|0|209.445|y|21|35|56
HB45032|19LK3||600.31|0|0|0|0|0|NA|0|13.045|587.263|0|600.31|0|600.31|n|0|0|0
HB45033|19KR15||600.305|63.087|251.374|54.039|71.169|69.891|14.025|0|104.88|482.228|509.849|90.456|0|2.485|y|55|139|194
HB45034|19EK26||600.531|0|10.huhti|83.943|209.19|152.401|NA|0|155.879|444.64|469.23|131.301|0|82.377|y|40|49|89
HB45035|19KR21||601.14|42.473|7.591|107.111|9.984|40.784|133.936|37.146|207.47|356.492|219.764|381.376|0|234.029|y|79|53|132
HB45035|19KR21||600.454|29.278|33.284|70.357|55.865|touko.85|71.598|0|438.145|162.308|194.673|405.781|0|374.943|y|9|44|53
HB45036|19KR21||600.027|0|0|0|0|0|NA|0|600.027|0|0|600.027|0|600.027|n|0|0|0
HB45037|19EK23||600.24|54.526|16.71|146.223|17.35|157.848|198.55|0|0|600.24|392.754|207.486|0|0.718|y|98|126|224
HB45038||Suomenoja|600.344|9.948|9.929|121.504|22.528|97.416|197.094|0|192.227|408.092|260.334|340.01|0|1.482|y|56|66|122
HB45039||Suomenoja|600.601|30.026|216.885|139.58|14.476|75.543|14.321|0|0|600.601|477.325|123.276|0|99.568|y|11|53|64
HB45040|19AT3||600.463|0|0|0|0|0|NA|0|3.846|555.699|0|600.463|0|600.463|n|310|0|310
HB45040|||600.026|0|1.233|2.271|125.353|16.353|NA|0.381|298.183|301.431|145.222|454.804|0|117.764|y|93|44|137
HB45041|19KR1||600.005|0|0|0|0|0|NA|121.118|442.713|36.077|0|600.005|40.642|600.005|n|103|0|103
HB45041|21EK6||600.233|4.623|28.943|57.363|marras.32|64.711|135.73|34.089|80.403|485.701|166.99|433.243|0|326.982|y|35|41|76
HB45042||Vuosaari|600.388|358.369|0|32.484|0|173.193|NA|0|0|600.388|565.121|35.267|0|35.265|y|3|5|8
HB45043|19KR19||601.068|21.728|3.618|84.55|3.628|60.781|74.682|0|5.638|595.428|174.33|426.738|0|418.035|y|4|27|31
HB45043|19KR19||601.872|90.104|40.988|134.257|48.29|71.68|25.982|0|25.723|576.145|382.59|219.282|0|38.079|y|57|101|158
HB45044||Kodderviken|600.118|0|0|102.497|1.062|33.209|NA|0|260.126|339.987|136.771|463.347|0|332.311|y|7|6|13
HB45045|19EK20||600.271|536.637|19.489|31.366|0|2.771|NA|3.864|497.572|98.824|590.268|10.003|0|10.001|y|1|6|7
HB45045|19EK20||600.929|264.892|3.104|228.439|23.541|28.338|491.674|0|67.591|518.93|548.333|52.596|0|25.094|y|9|22|31
HB45045|20EK53||600.897|34.242|225.34|122.457|9.385|76.673|276.846|15.149|475.516|110.209|468.108|132.789|0|58.463|y|13|14|27
HB45046|19EK20||600.894|0|0|0|0|0|NA|0|0|600.894|0|600.894|0|600.894|n|0|0|0
HB45047||Suomenoja|600.717|81.529|1.368|272.489|4.296|35.204|225.175|0|0.5|600.215|483.553|117.164|0|117.162|y|40|181|221
HB45047|20KR1||600.581|38.765|5.171|308.98|28.178|10.655|46.406|0|28.392|572.176|466.578|134.003|0|134.001|y|59|181|240
HB45047|||601.134|0|15.177|124.514|81.301|146.947|NA|0|69.244|531.869|369.362|231.772|0|42.934|y|60|81|141
HB45048||Suomenoja|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
HB45049|19KR18||600.132|0|241.411|7.418|56.046|127.162|NA|0|0|600.132|432.042|168.09|0|110.768|y|3|6|9
HB45050|19KR18||600.244|0|0|0|0|363.641|NA|0|46.376|553.864|363.867|236.377|0|236.375|y|2|1|3
HB45051|19AV3||600.066|15.988|42.391|34.735|40.197|58.825|40.699|0|255.775|343.254|192.098|407.968|0|2.463|y|60|50|110
HB45052|19AV3||600.098|71.96|20.589|116.274|14.797|34.137|66.948|0|92.185|507.64|300.862|299.236|0|117.695|y|95|128|223
HB45053||Sperring Sund|600.293|130.398|13.443|164.898|1.534|8.821|61.71|28.179|291.294|280.787|479.937|120.356|0|120.354|y|1|164|165
HB45054|19KR22||600.569|0|0|0|0|0|NA|143.441|457.127|0|0|600.569|0|600.569|n|0|0|0
HB45055|19KR22||600.319|38.254|53.188|0|49.308|6.452|NA|125.027|466.847|8.427|147.215|453.104|0|399.408|y|8|18|26
HB45055|19KR22||600.183|217.821|148.772|66.435|78.136|0|NA|76.924|432.691|90.5|517.248|82.935|0|54.879|y|16|182|198
HB45057|19KR28||600.501|50.142|2.329|506.004|0|39.198|NA|0|2.821|597.679|598.882|1.619|0|1.617|y|3|7|10
HB45058|19KR28||600.339|111.273|59.474|102.937|29.958|90.897|115.372|8.437|122.73|463.531|486.801|113.538|0|48.461|y|20|78|98
HB45058|19KR28||600.695|0|88.007|0|96.882|0|NA|0|184.891|415.803|184.89|415.805|0|415.803|y|1|2|3
HB45059|19KR27||601.373|56.993|28.037|181.056|70.162|75.594|16.123|0|288.732|310.021|449.693|151.68|0|27.122|y|73|255|328
HB45060||Storminnet|601.228|0|0|3.926|0|20.303|NA|66.579|371.204|163.435|24.23|576.998|0|576.996|y|11|2|13
HB45061||Storminnet|600.496|66.638|35.861|218.046|50.793|168.543|138.507|0|6.264|594.23|539.912|60.584|0|36.802|y|3|33|36
HB45062||Norra Fladet|601.579|83.126|135.773|166.661|125.383|20.926|82.685|0|0|601.579|531.919|69.66|0|7.685|y|7|53|60
HB45063|19KR24||600.497|168.756|110.661|236.687|20.845|26.676|54.357|0|2.568|597.927|583.464|17.033|0|6.243|y|4|136|140
HB45064||Matask?sviken|600.982|32.31|16.476|74.971|36.708|227.643|163.208|17.18|157.728|425.278|390.046|210.936|0|46.115|y|57|62|119
HE21001|20EK1||600.298|0|0|0|0|0|NA|0|56.885|543.396|0|600.298|0|600.298|n|290|0|290
HE21001|20EK1||600.869|166.165|3.602|11.684|0|6.645|NA|0|NA|600.868|188.1|412.769|0|412.767|y|1|5|6
HE21001|21EK4||600.39|0|0|0|0|0|NA|0|69.392|530.974|0|600.39|0|600.39|n|158|0|158
HE21002|||600.021|73.902|17.213|142.177|10.994|55.375|58.462|30.969|200.397|367.911|479.075|120.946|2.759|91.883|y|13|185|198
HE21003|||600.189|0|0|0|0|0|NA|298.682|141.714|159.746|0|600.189|0|600.189|n|72|0|72
HE21004|||600.025|0|0|0|0|0|NA|42.088|392.385|165.488|0|600.025|0|600.025|n|158|0|158
HE21005|||600.372|0|0|173.352|1.673|0|NA|0|3.692|596.678|175.026|425.346|0|425.344|y|1|2|3
HE21006|||600.653|0|0|0|0|0|NA|58.675|119.213|421.94|0|600.653|11.352|600.653|n|98|0|98
HE21007|||622.579|18.036|0.808|87.678|0|2.261|NA|4.909|70.979|546.654|120.001|502.578|0|502.577|y|19|18|37
HE21008|||600.473|137.429|2.489|277.765|16.96|26.094|92.085|helmi.85|95.68|501.9|588.202|12.271|0|12.269|y|2|149|151
HE21009|||600.34|78.209|13.812|98.458|15.772|30.995|24.43|0|14.416|585.918|237.276|363.064|0|190.88|y|21|37|58
HE21010|||590.588|0|0|0|0|0|NA|589.079|1.508|0|0|590.588|589.079|590.588|n|1|0|1
HE21011|||600.012|13.86|141.221|36.996|6.442|3.635|42.211|huhti.83|179.017|416.149|203.46|396.552|0|340.208|y|23|18|41
HE21012|||600.068|14.52|85.886|3.434|145.264|3.435|210.675|15.58|502.882|81.569|252.599|347.469|0|1.878|y|43|94|137
HE21013|20AT7||600.092|0|0|0|0|0|NA|1.826|touko.67|592.66|0|600.092|0|600.092|n|6|0|6
HE21014|20AT7||600.925|21.062|470.24|0|81.971|0|NA|0|220.153|380.745|573.307|27.618|0|1.487|y|8|41|49
HE21015|20EK34||600|59.069|4.004|40.492|4.001|0|NA|0|12.824|587.173|107.571|492.429|0|492.428|y|3|5|8
HE21016|20EK16||600.942|580.139|10.381|9.205|0|0|NA|0|16.982|583.951|600.186|0.756|0|0.754|y|1|8|9
HE21017|20AT17||NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
HE21018|20EK44||600|0|0|0|0|0|NA|5.341|68.654|525.999|0|600|0|600|n|21|0|21
HE21019|20KR1||600|0|222.198|19.474|0|45.662|NA|0|1.747|598.252|281.425|318.575|0|318.574|y|5|3|8
HE21020|20KR13||600|172.968|204.37|115.441|70.377|13.717|53.999|0|0|600|589.511|10.489|0|3.496|y|7|135|142
HE21021|20AT5||600|12.765|7.729|47.51|7.566|3.423|49.275|15.764|326.321|257.865|95.081|504.919|0|3.502|y|116|45|161
HE21022|20EK25||600|0|0|0|0|0|NA|0|15.28|584.719|0|600|0|600|n|0|0|0
HE21023|20JJ5||600|23.241|33.838|53.235|46.754|0.992|67.995|0|53.188|546.779|158.087|441.913|0|289.757|y|30|33|63
HE21024|||NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
HE21025|||NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
HE21026|20AT23||600.639|44.282|36.092|248.899|52.387|40.174|77.479|12.914|424.444|163.236|422.118|178.521|0|22.syys|y|38|70|108
HE21027|20AT23||600.556|356.814|0|36.415|0|199.776|NA|0|8|592.55|594.058|6.498|0|6.496|y|3|6|9
HE21028|||600|140.803|189.243|61.638|53.489|75.354|94.536|0|178.683|421.236|520.667|79.333|0|2.758|y|30|158|188
HE21029|||600.306|123.818|0|162.868|0|syys.89|NA|0|155.612|444.187|468.479|131.827|0|131.825|y|1|286|287
HE21030|||600.468|10.757|174.467|0|29.536|5.588|NA|0|374.62|225.847|220.359|380.109|0|11.068|y|2|11|13
HE21031|20AT25||600.367|169.707|238.615|146.556|1.088|10.505|463.332|0|119.156|481.201|566.489|33.878|0|33.876|y|9|19|28
HE21032|20AT25||624.181|7.851|0|24.286|6.133|0|NA|45.353|377.406|201.353|114.706|509.475|6.162|509.473|y|79|38|117
HE21033|20KR22||600.397|0|0|0|0|0|NA|0|600.397|0|0|600.397|0|600.397|n|0|0|0
HE21034|20EK29||600.223|0|0|0|0|0|NA|0|0|600.223|0|600.223|0|600.223|n|0|0|0
HE21035|20KR30||600.608|0|0|117.788|9.472|452.14|NA|0|591.033|9.574|580.272|20.336|0|18.727|y|2|7|9
HE21037|20KR30||591.221|0|0|0|0|0|NA|0|8.925|582.29|0|591.221|0|591.221|n|19|0|19
HE21038|||600.097|33.456|20.516|133.499|54.657|40.263|82.232|0|191.116|408.415|283.915|316.182|0|2.299|y|95|71|166
HE21039|20KR29||600.069|48.986|54.93|139.651|128.574|51.511|57.335|174.092|392.871|33|436.802|163.267|0|29.488|y|54|185|239
HE21040|20KR29||599.926|0|0|0|0|0|NA|0|11.369|588.547|0|599.926|0|599.926|n|106|0|106
HE21041|20KR45||600.373|212.192|32.431|90.008|20.301|14.199|90.695|3.092|40.967|556.285|372.532|227.841|0|83.461|y|27|61|88
HE21042|20KR45||600.231|0|0|0|0|0|NA|0|57.48|542.725|0|600.231|0|600.231|n|2|0|2
HE21043|20AT24||600.236|0|0|0|0|0|NA|0|175.515|16.384|0|600.236|0|600.236|n|1|0|1
HE21044|20EK49||600|33.215|0|546.702|0|0|NA|0|joulu.55|587.444|598.99|1.tammi|0|1.tammi|y|2|14|16
HE21045|20EK49||600|55.885|tammi.25|128.1|0.5|331.934|493.124|0|21.008|578.986|529.337|70.663|0|53.498|y|10|48|58
HE21046|20JJ19||600.027|0|0|0|0|0|NA|14.501|161.474|423.925|0|600.027|0|600.027|n|208|0|208
HE21047|20JJ19||600|0|0|0|0|0|NA|0|128.178|471.678|0|600|0|600|n|338|0|338
HE21048|||600.121|0|0|0|0|0|NA|tammi.88|71.028|527.174|0|600.121|0|600.121|n|189|0|189
HE21049|||600.303|162.279|109.971|128.729|59.927|7.304|18.123|12.209|439.297|148.76|475.13|125.173|0|101.095|y|15|102|117
HE21050|||600.599|200.714|107.462|148.376|61.301|27.891|55.837|13.579|259.132|327.224|581.241|19.358|0|2.944|y|22|476|498
HE21051|||600.221|0|0|0|0|0|NA|4.518|75.929|519.735|0|600.221|0|600.221|n|140|0|140
HE21052|||600|0|0|0|0|0|NA|27.506|115.402|457.089|0|600|25.598|600|n|9|0|9
HE21053|20KR38||600|4.994|82.765|2.997|90.216|111.314|190.998|41.057|264.599|294.297|292.817|307.183|0|2.016|y|29|44|73
HE21054|20EK52||600.019|0|0|0|0|0|NA|0|0|600.019|0|600.019|0|600.019|n|0|0|0
HE21055|20EK52||600.562|78.367|0|466.217|1.751|0|NA|0|47.066|553.463|599.551|1.011|0|1.tammi|y|1|74|75
HE21056|20KR46||600|0|0|0|0|0|NA|119.186|395.687|85.03|0|600|26.464|600|n|184|0|184
HE21301|21EK4||600|0|0|0|0|0|NA|0|4.248|595.751|0|600|0|600|n|2|0|2
HE21302|21KR3||600|0|0|17.438|0|15.501|NA|29.016|108.996|461.98|32.94|567.06|0|567.059|y|3|1|4
HE21303|21KR3||600|0|0|0|0|0|NA|0|0|600|0|600|0|600|n|0|0|0
HE21305|21KR8||600|0|0|0|0|0|NA|322.586|277.413|0|0|600|0|600|n|1|0|1
HE21307|21EK2||600|0|0|0|0|0|NA|0|179.499|420.494|0|600|0|600|n|2|0|2
HE21308|21EK2||600|0|0|0|0|0|NA|0|80.497|519.502|0|600|0|600|n|0|0|0
HE21309|21KR4||600|0|0|0|0|0|NA|0|273.939|326.03|0|600|0|600|n|33|0|33
HE21310|21KR4||600|202.043|3.245|159.084|touko.44|0|NA|29.49|426.517|143.923|422.003|177.997|0|177.996|y|2|139|141
HE21313|21JJ6||600|0|0|0|0|0|NA|0|63.748|536.25|0|600|0|600|n|1|0|1
HE21314|21JJ6||600|3.502|137.983|1.touko|113.573|53.453|183.441|1.757|140.646|457.549|310.065|289.935|0.758|2.004|y|86|92|178
HE21315|21DT2||600|0|129.035|0|26.534|4.998|NA|0|163.741|436.256|160.569|439.431|0|439.43|y|2|2|4
HE21316|21EK11||600|0|0|0|0|0|NA|149.385|391.76|58.73|0|600|5.575|600|n|224|0|224
HE21317|21JJ11||600|0|0|0|0|0|NA|0|0|600|0|600|0|600|n|2|0|2
HE21318|21EK6||600|156.798|60.669|158.007|42.464|23.015|79.003|64.341|507.621|28|441.005|158.995|0|147.751|y|29|53|82
HE21319|21JJ15||600|0|0|0|0|0|NA|0|600|0|0|600|0|600|n|0|0|0
HE21320|21JJ15||600|0|0|0|0|0|NA|0|0.747|599.251|0|600|0|600|n|2|0|2
HE21321|21JJ8||600|0|0|0|0|0|NA|0|4.997|595.002|0|600|0|600|n|1|0|1
HE21322|21JJ10||600|0|0|0|0|0|NA|0|4.261|595.733|0|600|0|600|n|77|0|77
HE21323|21JJ10||600|32.354|0|225.75|42.25|1.499|NA|3.syys|125.523|471.323|412.498|187.502|0|187.501|y|62|114|176
HE21324|21EK13||600|127.499|42.774|39.253|0.998|2.996|212.538|0|0|600|213.535|386.465|0|258.005|y|7|17|24
HE21325|21EK9||600|159.201|33.827|366.893|0|1.551|NA|0|21.796|578.2|562.5|37.5|0|37.499|y|4|18|22
HE21326|21EK9||600|1.585|0|0.746|1.753|0|NA|8.081|159.134|432.731|4.657|595.343|0|595.342|y|78|5|83
HE21327|21EK15||600|110.614|69.852|198.382|41.238|5.501|29.251|14.159|182.517|403.207|490.905|109.095|0|69.822|y|9|221|230
HE21328|21EK24||600.876|147.301|0|236.913|28.441|elo.57|NA|0|265.08|335.727|600.273|0.603|0|0.601|y|1|218|219
HE21328|21EK24||600.28|43.121|51.258|23.31|458.708|4.483|464.56|5.991|542.215|52.046|580.932|19.348|0|1.335|y|6|54|60
HE21329|21EK24||600|0|0|0|0|0|NA|138.817|163.418|297.655|0|600|84.069|600|n|109|0|109
HE21330|21EK18||600|0|0|0|0|0|NA|5.984|121.242|472.74|0|600|0|600|n|6|0|6
HE21335|21NB12||600.79|0|0|0|0|0|NA|111.296|208.737|280.644|0|600.79|36.407|600.79|n|176|0|176
HE21335|21NB12||598.823|0|0|0|0|0|NA|3.643|82.618|473.29|0|598.823|0|598.823|n|159|0|159
HE21337|21NB7||600.03|0|0|6.001|3.995|27.037|NA|0|293.606|306.419|37.036|562.994|0|275.5|y|10|5|15
HE21338|21EK19||600|0|0|0|0|0|NA|0|116.245|483.703|0|600|0|600|n|75|0|75
HE21339|21EK19||600|0|0|0|0|0|NA|0|600|0|0|600|0|600|n|0|0|0
HE21341|21EK21||600|284.748|0|88.486|0|69.498|NA|16.462|236.264|347.25|552.999|47.001|0|47|y|1|31|32
HE21342|21OW2||600|44.743|0|20.483|7.015|4.999|NA|0|0|600|77.746|522.254|0|522.253|y|4|4|8
HE21343|21OW2||600|0|0|0|0|0|NA|0|0|600|0|600|0|600|n|0|0|0
HE21349|21OW5||600|9.751|387.29|5.994|174.853|1.495|411.493|7.touko|476.557|115.871|579.502|20.498|0|1.756|y|12|130|142
HE21350|21OW5||600|0|0|0|0|281.755|NA|0|0|600|281.755|318.245|0|318.244|y|2|0|2
HE21351|21EK25||600|0|0|0|0|0|NA|0|0|600|0|600|0|600|n|0|0|0
HE21352|21EK25||600|0|0|0|0|0|NA|126.474|214.696|258.747|0|600|2.743|600|n|121|0|121
HE21355|21NB21||600|10.245|275.934|312.057|0|0|NA|1.262|16.37|582.361|598.493|1.507|0|1.507|y|1|6|7
HE21360|21OW8||600|0|0|96.73|0|128.766|NA|0|0|600|225.497|374.503|0|374.502|y|1|1|2
HE21361|21OW8||600|0|0|0|0|0|NA|153.479|308.385|138.044|0|600|34.485|600|n|219|0|219
HE21362|21JJ32||600|9.999|41.476|196.749|171.251|49.248|389.513|62.26|198.479|339.227|509.494|90.506|0|0.758|y|11|36|47
HE21363|21JJ32||600|0|0|31.673|0|23.039|NA|0|0|600|54.713|545.287|0|545.286|y|1|1|2
HE21364|21NB25||600|120.159|71.966|118.526|39.239|56.572|91.246|48.758|345.029|206.145|415.788|184.212|0|13.001|y|42|80|122
HE21370|21OW10||600|0|125.999|0|43.499|0|NA|0.748|174.897|424.352|169.499|430.501|0|0.646|y|3|5|8
